NSE Code,Strategy,Total Traded Value,CMP,Change %,Return Z-Score,Vol Spike (x),RSI,Tech Score,Action,Target,Stop Loss,Diff %
ONGC,Nifty Shop (Single Leg) | ETF Shop Method | DMADMA (Reverse),0.0,265.4,2.299742178834874e-06,0.1376659554841532,0.0,29.718345664342845,20,Level 2 Buy | Buy | 150 DMA Breakout | CMP > 200 DMA,282.07 | 282.48,261.7,-7.48825738760643
PARAS,DMADMA (Reverse) | DMADMA (No SL),0.0,819.35,2.9796867334106243e-06,-0.0624964042885705,0.0,55.04221950013854,95,150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,899.87 | 870.81,700.49,
PFC,ETF Shop Method | DMADMA (Reverse),0.0,428.6,-1.4240586830016303e-06,0.1429463640170848,0.0,42.10550841941991,45,Buy | 150 DMA Breakout | CMP > 200 DMA,453.05,398.78,-2.987228378625834
PINELABS,Nifty Shop (Single Leg) | RDX Indicator | ETF Shop Method,0.0,144.51,3.8012346980922504e-06,0.3502310729547113,0.0,32.42873549676487,10,Level 1 Buy | Explosive Sell | Buy,153.59 | 165.0,129.14,-12.515210241379329
POCL,ETF Shop Method | DMADMA (Reverse),0.0,1285.3,-3.798967026414873e-06,0.0653316534757707,0.0,41.62311807468404,55,Buy | 150 DMA Breakout | CMP > 200 DMA,1450.7,1280.69,-9.806990446468532
POLYCAB,RDX Indicator | DMADMA (Reverse) | DMADMA (No SL),0.0,9477.5,0.0,-0.4031563368514901,0.0,70.20141590352306,85,Explosive Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,9944.16 | 10072.69,9127.5 | 7780.93,
POWERGRID,ETF Shop Method | DMADMA (Reverse),0.0,290.55,4.201353217769466e-06,0.3237268580371886,0.0,36.17427349820676,30,Buy | 150 DMA Breakout | CMP > 200 DMA,306.95,284.97,-4.212442682182038
POWERINDIA,RDX Indicator | DMADMA (Reverse) | DMADMA (No SL),0.0,38445.0,0.0,-0.2745011784014294,0.0,76.16414420990058,85,Explosive Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,41270.72 | 40859.35,36325.71 | 24024.85,
PREMEXPLN,RDX Indicator,0.0,690.55,1.7677259315490728e-06,-0.2108608666016874,0.0,70.64096254196686,80,Explosive Buy,773.18,628.58,
PREMIERENE,DMADMA (No SL),0.0,1061.0,0.0,-0.1284609542798963,0.0,66.76049275432177,95,50 DMA Breakout | CMP > 200 DMA,1127.63,,
QUADFUTURE,ETF Shop Method,0.0,292.75,0.0,0.1121033986572796,0.0,46.03138152188191,25,Buy,,,-2.0542677562715324
RAIN,RDX Indicator | DMADMA (No SL),0.0,188.07,-3.8944108425512e-06,-0.4231217162766393,0.0,76.2051271139927,85,Explosive Buy | 50 DMA Breakout | CMP > 200 DMA,207.72 | 199.88,173.33,
RECLTD,ETF Shop Method,0.0,337.65,1.807645701937678e-06,0.189107819004526,0.0,42.07229745409364,25,Buy,,,-2.004745650664667
REDTAPE,RDX Indicator,0.0,139.52,-3.062256878178365e-06,-0.140074106558244,0.0,60.43906686863313,95,Explosive Buy,155.26,127.72,
REFEX,RDX Indicator,0.0,328.3,3.7182551676080576e-06,-0.3496211231071889,0.0,81.33459497531135,78,Explosive Buy,361.66,303.28,
RELIANCE,ETF Shop Method,0.0,1321.2,3.695740754619713e-06,0.3309399414415025,0.0,37.29415090112965,15,Buy,,,-2.827933223188885
RRKABEL,RDX Indicator | DMADMA (Reverse) | DMADMA (No SL),0.0,2056.3,-2.374562255441659e-06,-0.3812522233200495,0.0,71.69077110739278,65,Explosive Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,2235.34 | 2185.44,1922.02 | 1494.29,
RVNL,Nifty Shop (Single Leg) | Buy Low Sell High | RDX Indicator | ETF Shop Method,0.0,245.45,1.2433317739151725e-06,0.5071509600102152,0.0,24.611215209134045,5,Level 3 Buy | Buy on Support / Demand Level | Explosive Sell | Buy,260.86 | 263.96,238.37 | 231.57,-12.103849885304667
SAIL,RDX Indicator | DMADMA (Reverse) | DMADMA (No SL),0.0,204.37,2.389202241624377e-06,-0.144746182622559,0.0,65.33792360812795,80,Explosive Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,217.02 | 217.2,194.88 | 157.75,
SAMMAANCAP,RDX Indicator | DMADMA (Reverse),0.0,177.01,3.103307284263496e-06,-0.3482316813777774,0.0,75.22980952645997,80,Explosive Buy | 150 DMA Breakout | CMP > 200 DMA,190.05,167.23 | 150.85,
SBCL,RDX Indicator | DMADMA (No SL),0.0,740.0,0.0,-0.3242642298787981,0.0,71.53005766349577,85,Explosive Buy | 50 DMA Breakout | CMP > 200 DMA,815.87 | 786.47,683.1,
